               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.059143,            0.025324,            0.017329,             0.59257,                0.55,             0.41239,              0.1981,            0.059526,            0.016009,            0.011731,           0.0072874,           0.0072874,           0.0072874
                 139,            0.057123,            0.031967,            0.018494,             0.76365,                 0.5,             0.54023,             0.24855,            0.056387,            0.015818,            0.011347,           0.0072676,           0.0072676,           0.0072676
                 140,            0.055461,            0.025846,            0.016169,             0.76365,                 0.5,             0.54023,             0.24855,            0.056387,            0.015818,            0.011347,           0.0072478,           0.0072478,           0.0072478
                 141,            0.055282,            0.031445,            0.018265,             0.76365,                 0.5,             0.54023,             0.24855,            0.056387,            0.015818,            0.011347,            0.007228,            0.007228,            0.007228
                 142,            0.059136,             0.02684,            0.017376,             0.76365,                 0.5,             0.54023,             0.24855,            0.056387,            0.015818,            0.011347,           0.0072082,           0.0072082,           0.0072082
                 143,            0.060044,            0.020646,            0.019974,             0.64972,             0.58761,             0.56106,             0.22929,            0.054529,            0.015765,            0.010977,           0.0071884,           0.0071884,           0.0071884
                 144,            0.054358,            0.025211,            0.017541,             0.64972,             0.58761,             0.56106,             0.22929,            0.054529,            0.015765,            0.010977,           0.0071686,           0.0071686,           0.0071686
                 145,            0.056155,            0.031052,            0.016618,             0.64972,             0.58761,             0.56106,             0.22929,            0.054529,            0.015765,            0.010977,           0.0071488,           0.0071488,           0.0071488
                 146,            0.056246,            0.028054,            0.017743,             0.64972,             0.58761,             0.56106,             0.22929,            0.054529,            0.015765,            0.010977,            0.007129,            0.007129,            0.007129
                 147,            0.055285,            0.027802,            0.017934,             0.81979,                 0.5,             0.54232,             0.26363,            0.053556,            0.015537,            0.010486,           0.0071092,           0.0071092,           0.0071092
                 148,            0.052697,             0.02809,            0.015409,             0.81979,                 0.5,             0.54232,             0.26363,            0.053556,            0.015537,            0.010486,           0.0070894,           0.0070894,           0.0070894
                 149,            0.052324,            0.032973,             0.01687,             0.81979,                 0.5,             0.54232,             0.26363,            0.053556,            0.015537,            0.010486,           0.0070696,           0.0070696,           0.0070696
                 150,            0.053573,            0.022319,            0.014595,             0.81979,                 0.5,             0.54232,             0.26363,            0.053556,            0.015537,            0.010486,           0.0070498,           0.0070498,           0.0070498
                 151,             0.05476,            0.025869,            0.016896,             0.68167,                0.55,              0.5715,             0.31111,            0.052639,            0.015309,            0.010073,             0.00703,             0.00703,             0.00703
                 152,            0.049942,            0.032544,            0.016768,             0.68167,                0.55,              0.5715,             0.31111,            0.052639,            0.015309,            0.010073,           0.0070102,           0.0070102,           0.0070102
                 153,            0.052081,            0.027872,            0.015577,             0.68167,                0.55,              0.5715,             0.31111,            0.052639,            0.015309,            0.010073,           0.0069904,           0.0069904,           0.0069904
